Unnamed: 0,time,seconds_elapsed,z,y,x,str_time,difference
1443,1711523608937905400,14.052905517578123,9.740541458129885,1.0857770442962646,0.3366729915142059,2024-03-27 07:13:28.937905400,0.7491040527820587
1444,1711523608947551500,14.062551513671876,9.736966133117676,1.1163740158081057,0.3399809896945953,2024-03-27 07:13:28.947551500,0.7763930261135104
1445,1711523608957197300,14.072197265625,9.736353874206545,1.1283260583877563,0.3172929883003235,2024-03-27 07:13:28.957197300,0.8110330700874329
1446,1711523608966843100,14.081843017578125,9.733078002929688,1.154873967170715,0.3222549855709076,2024-03-27 07:13:28.966843100,0.8326189815998075
1447,1711523608976489000,14.091489013671875,9.733868598937988,1.153331995010376,0.3033190071582794,2024-03-27 07:13:28.976489000,0.8500129878520966
1448,1711523608986135000,14.101135009765626,9.732311248779297,1.1635440587997437,0.3141089975833893,2024-03-27 07:13:28.986135000,0.8494350612163544
1449,1711523608995780900,14.11078076171875,9.7365140914917,1.1281750202178955,0.3129009902477264,2024-03-27 07:13:28.995780900,0.8152740299701691
1450,1711523609005427000,14.120427001953123,9.737642288208008,1.1129390001296997,0.3317970037460327,2024-03-27 07:13:29.005427000,0.781141996383667
1451,1711523609015072800,14.13007275390625,9.744091987609863,1.061619997024536,0.3098829984664917,2024-03-27 07:13:29.015072800,0.7517369985580442
1452,1711523609024718600,14.139718505859374,9.746257781982422,1.0345979928970337,0.3323470056056976,2024-03-27 07:13:29.024718600,0.7022509872913361
1453,1711523609034364700,14.14936474609375,9.75196647644043,0.9789220094680786,0.3335810005664825,2024-03-27 07:13:29.034364700,0.6453410089015961
1454,1711523609044010800,14.1590107421875,9.752873420715332,0.9616820216178894,0.3564150035381317,2024-03-27 07:13:29.044010800,0.6052670180797577
1455,1711523609053656600,14.168656494140626,9.756526947021484,0.91416198015213,0.3806279897689819,2024-03-27 07:13:29.053656600,0.5335339903831482
1456,1711523609063302400,14.178302490234374,9.75588607788086,0.9134719967842102,0.3982940018177032,2024-03-27 07:13:29.063302400,0.515177994966507
1457,1711523609072948200,14.1879482421875,9.75779914855957,0.883188009262085,0.4192189872264862,2024-03-27 07:13:29.072948200,0.46396902203559875
1458,1711523609082594000,14.197593994140624,9.756399154663086,0.8921300172805786,0.4326319992542267,2024-03-27 07:13:29.082594000,0.45949801802635193
1459,1711523609092240400,14.207240478515626,9.75783634185791,0.8696669936180115,0.4457579851150512,2024-03-27 07:13:29.092240400,0.42390900850296026
1460,1711523609101886200,14.21688623046875,9.756450653076172,0.880977988243103,0.4537869989871979,2024-03-27 07:13:29.101886200,0.42719098925590515
1461,1711523609111532000,14.226531982421877,9.757883071899414,0.876446008682251,0.431205004453659,2024-03-27 07:13:29.111532000,0.445241004228592
1462,1711523609121177900,14.236177734375,9.75652313232422,0.8899919986724854,0.434222012758255,2024-03-27 07:13:29.121177900,0.45576998591423035
1463,1711523609130824000,14.245823974609374,9.757001876831056,0.8956019878387451,0.4113390147686004,2024-03-27 07:13:29.130824000,0.4842629730701447
1464,1711523609140470000,14.255469970703125,9.755349159240724,0.9096189737319946,0.4196819961071014,2024-03-27 07:13:29.140470000,0.48993697762489324
